-183.511, 78.244, 1.646,  1.765
-183.505, 78.189, 1.658,  1.798
-183.499, 78.134, 1.667,  1.831
-183.493, 78.079, 1.672,  1.864
-183.487, 78.023, 1.675,  1.897
-183.482, 77.968, 1.676,  1.930
-183.476, 77.912, 1.678,  1.963
-183.471, 77.856, 1.680,  1.996
-183.466, 77.801, 1.685,  2.029
-183.460, 77.744, 1.691,  2.062
-183.455, 77.688, 1.700,  2.095
-183.449, 77.631, 1.711,  2.128
-183.444, 77.574, 1.722,  2.161
-183.438, 77.517, 1.732,  2.194
-183.433, 77.459, 1.742,  2.227
-183.427, 77.401, 1.749,  2.260
-183.421, 77.343, 1.754,  2.293
-183.415, 77.285, 1.758,  2.326
-183.410, 77.226, 1.761,  2.359
-183.404, 77.168, 1.764,  2.392
-183.398, 77.109, 1.769,  2.425
-183.393, 77.051, 1.776,  2.458
-183.387, 76.991, 1.785,  2.491
-183.381, 76.932, 1.794,  2.524
-183.376, 76.872, 1.804,  2.557
-183.371, 76.812, 1.813,  2.590
-183.365, 76.751, 1.821,  2.623
-183.360, 76.691, 1.827,  2.656
-183.354, 76.630, 1.832,  2.689
-183.349, 76.569, 1.836,  2.722
-183.343, 76.508, 1.840,  2.755
-183.338, 76.447, 1.845,  2.788
-183.332, 76.386, 1.852,  2.821
-183.326, 76.324, 1.860,  2.854
-183.321, 76.262, 1.869,  2.887
-183.315, 76.200, 1.878,  2.920
-183.309, 76.137, 1.887,  2.953
-183.303, 76.074, 1.894,  2.986
-183.297, 76.011, 1.899,  3.019
-183.292, 75.948, 1.904,  3.052
-183.286, 75.885, 1.909,  3.085
-183.281, 75.821, 1.914,  3.118
-183.276, 75.758, 1.921,  3.151
-183.270, 75.694, 1.929,  3.184
-183.265, 75.629, 1.938,  3.217
-183.259, 75.565, 1.947,  3.250
-183.253, 75.500, 1.955,  3.283
-183.248, 75.435, 1.962,  3.316
-183.242, 75.369, 1.967,  3.349
-183.236, 75.304, 1.972,  3.382
-183.231, 75.238, 1.977,  3.415
-183.225, 75.173, 1.983,  3.448
-183.219, 75.107, 1.991,  3.481
-183.213, 75.040, 2.000,  3.514
-183.207, 74.974, 2.010,  3.547
-183.202, 74.907, 2.018,  3.580
-183.196, 74.839, 2.025,  3.613
-183.191, 74.772, 2.031,  3.646
-183.185, 74.704, 2.036,  3.679
-183.180, 74.636, 2.041,  3.712
-183.174, 74.569, 2.047,  3.745
-183.169, 74.500, 2.054,  3.778
-183.163, 74.432, 2.064,  3.811
-183.157, 74.363, 2.074,  3.844
-183.152, 74.294, 2.083,  3.877
-183.146, 74.225, 2.090,  3.910
-183.140, 74.155, 2.096,  3.943
-183.134, 74.085, 2.100,  3.976
-183.128, 74.015, 2.105,  4.009
-183.122, 73.945, 2.112,  4.042
